寻梦环游记,9.0,5,依然吐槽下片名翻译问题，环游你妈啊环游，神烦这种乱七八糟的翻译...不过讲道理这部片质量还是相当高的，迪斯尼煽起情来也是相当催泪啊。,2018-01-28 00:02:25
肉与灵,7.5,4,很有意思，有点《你眼中的世界》的味道,2018-01-27 21:31:58
逃出绝命镇,7.6,4,好棒的题材啊，有趣有趣,2018-01-27 17:57:51
请以你的名字呼唤我,8.8,3,过誉了，很普通的LGBT电影，唯一的亮点大概是配乐了吧,2018-01-25 19:50:30
赎罪,8.2,3,中间太沉闷了，导致最后的反转也显得暗淡了许多。,2018-01-24 12:23:03
三块广告牌,8.7,4,开放式的结局，让我想到了杀人回忆，同样是被奸杀，寻找杀人凶手，三块广告牌的叙述显然更平和，更隐晦。最后的结尾我更倾向于没有杀那个人，而女主最终也释怀了。可是真的能释怀吗？在现实中有更多像女主一样无奈承受着因案件未被侦破而产生的折磨与痛苦，他们毫无办法，只能随着时间流逝，慢慢愈合。,2018-01-20 00:33:43
肌肤,7.6,4,虽然重口味，但是真的好看，bgm也好听,2018-01-19 13:15:23
斯托克,7.5,4,超喜欢这种调调的拍摄手法,2018-01-16 14:58:15
电锯惊魂8：竖锯,6.8,3,跟前作差远啦,2018-01-11 19:28:30
复仇者联盟,8.0,4,超级英雄联盟啊，很过瘾,2017-12-22 12:49:29
咖啡公社,7.1,3,跟咖啡公社有啥关系么。。。,2017-12-20 14:50:24
失业生,7.1,2,剧本堪忧啊……,2017-12-19 22:44:39
踏血寻梅,7.4,4,不知道为什么想死，不知道为什么杀人才是这部电影的真谛吧,2017-12-18 22:05:46
少数派报告,7.7,5,好看啊 算是新科幻？,2017-12-18 17:19:41
龙纹身的女孩,8.0,3,欣赏不来啊，为毛各种5星好评，看不懂了,2017-12-17 23:14:01
缝纫机乐队,6.6,3,中规中矩，没啥亮点，也没很难看,2017-12-16 20:29:45
小丑回魂,7.3,3,有个影评写的好，恐怖版与我同行哈哈，怎么说呢，恐怖成分太少，故事讲得不够好，两头不讨好吧,2017-12-16 09:18:23
暴雪将至,7.0,3,前半部分有点《杀人回忆》的味道，整部看下来感觉压抑氛围足够，剧本张力不足哇,2017-12-15 15:49:47
相爱相亲,8.4,5,晓光生病就没然后了？,2017-12-13 14:29:55
会计刺客,7.4,4,大本真的是所有电影都一个表情啊……,2017-12-12 22:53:13
敦刻尔克,8.4,2,挺失望的，相比诺兰其他片子，差太远了,2017-12-08 16:28:03
杰出公民,8.4,5,低成本佳作，好看,2017-12-08 12:10:55
神奇女侠,7.1,3,神奇女侠太善良了,2017-12-07 15:16:55
闪光少女,7.3,2,莫名其妙的剧情发展，尤其前半程，尴尬至极,2017-12-06 19:45:03
海蒂和爷爷,9.0,4,"1. 美，画面美，人物美，音乐美
2. 剧情稍显单薄
3. 吐槽下翻译，爷爷戏份并不多，翻译成海蒂和爷爷不太好",2017-12-06 16:17:21
王牌保镖,7.2,3,塞缪尔杰克逊一如既往的帅气,2017-12-06 12:09:35
炙热,8.5,5,很压抑的一部电影，影片最后，三位女主奔向了“自由”，可又有多少女人没能冲破这层枷锁呢？,2017-12-05 15:25:54
王牌特工2：黄金圈,6.9,2,毫无亮点的续作啊,2017-12-02 18:55:35
加勒比海盗5：死无对证,7.2,3,经典爆米花式续作,2017-11-30 20:11:38
天才枪手,8.1,5,把作弊拍得这么好的只有泰国了,2017-11-27 22:21:19
爱乐之城,8.3,3,就这种歌舞片拿了最佳影片才是笑话,2017-11-11 19:32:07
隐藏人物,8.6,3,大牌云集的政治正确电影,2017-11-06 20:29:36
情人,8.1,4,总是想把这部电影和洛丽塔横向比较，各有各的好看之处吧,2017-10-25 21:53:12
伦敦一家人,8.7,3,这样的生活，这样的一辈子，不喜欢,2017-10-25 19:40:01
幸运是我,7.9,3,还不错 暖,2017-10-25 13:39:58
初恋这首情歌,8.3,3,原来是约翰卡尼三部曲之一，其实不管是影片质量还是插曲质量，都不如前两部啊,2017-10-11 20:25:59
神奇队长,7.8,3,一个固执的父亲放弃执念的故事,2017-10-11 14:19:35
完美陌生人,8.6,5,不是因为都是一群人的电影，就拿来和彗星来的那一夜比较啊……完全两个类型的，不过都很好看就是啦,2017-10-10 22:51:02
我们的世界,8.4,3,分数虚高的厉害,2017-10-10 20:06:53
大空头,8.4,3,太专业了 没太看懂 尴尬,2017-10-10 14:35:02
小姐,8.0,5,大概是悬疑片里最好的情色片了吧……,2017-10-10 01:04:55
一个叫欧维的男人决定去死,8.7,4,豆瓣对于温情电影真是厚爱到极致了啊，8.7也太夸张了,2017-10-09 14:53:27
冈仁波齐,7.7,3,完全可以拍成纪录片嘛……ps.理发店小妹好美,2017-10-08 18:55:20
斯隆女士,8.7,5,女版纸牌屋啊，比下木先生更深谋远虑，结合最近的拉斯维加斯枪击案欣赏口味更佳,2017-10-08 11:26:29
环太平洋,7.6,4,过瘾啊 特效爆炸 音乐燃炸 女主笑起来还挺美,2017-10-07 19:23:08
一条狗的使命,7.7,3,做人也一样 活在当下 开心就好 哈哈,2017-10-07 14:06:52
推销员,7.7,4,最后还是原谅了啊，如果是我，会如何选呢？,2017-10-07 11:34:50
功夫熊猫3,7.6,3,比2好点，增加了很多新元素，显得不那么俗套了，但是有点天马行空啊，三星半,2017-10-06 23:38:04
一念无明,7.9,5,真是部好电影，我感觉阿东并没有弑母，只是单纯的躁郁症，当然，躁郁症也是很严重的，邻居的反应也都相当现实啊,2017-10-06 20:46:21
摔跤吧！爸爸,9.1,4,很励志 看着很过瘾,2017-10-06 17:58:44
功夫熊猫2,8.0,3,跟第一部差远啦，有点落俗了,2017-10-06 14:20:59
功夫熊猫,7.9,4,很不错的电影啊……满满的中国元素,2017-10-06 12:25:37
华尔街之狼,7.7,4,多美好的海天盛筵,2017-10-05 16:53:18
银翼杀手,8.2,3,为什么这部电影很经典？我看着想睡觉啊，前半部还可以，后半部剧情推进感觉好乱,2017-10-04 17:05:56
雷神,6.8,3,中规中矩,2017-10-03 12:45:22
美人鱼,6.7,2,就这样吧……纯粹强行制造笑点,2017-10-03 10:23:11
夏洛特烦恼,7.5,2,穿越真是个好东西，什么都可以往里套，典型的屌丝意淫后幡然醒悟，然后卖情怀经典歌曲串烧，模仿太拙劣，有些不伦不类,2017-10-03 00:03:39
自杀小队,6.2,3,妆画得不错,2017-10-02 18:55:32
蓝宇,8.0,4,真是部大尺度电影，不论色情还是政治，刘烨演的也是绝了。电影名叫蓝宇却一直是陈捍军的视角，挺有趣的。,2017-10-02 12:31:31
黑客帝国3：矩阵革命,8.6,4,最后没看懂啊，整个三部曲就是个圈套？,2017-10-01 18:25:43
黑客帝国2：重装上阵,8.4,3,什么鬼，一直在打和无趣的对白,2017-10-01 11:25:33
死侍,7.6,4,挺逗的，哈哈,2017-10-01 00:51:16
第六感生死缘,7.8,3,什么乱七八糟的...,2017-09-29 16:04:59
好家伙,8.3,3,跟教父差远了,2017-09-29 10:09:22
十月的天空,8.6,4,虽然剧情俗套了点，但还是很好看啊,2017-09-27 17:40:45
伴我同行,8.9,4,回想自己的十二岁，好像也没有那么些个朋友了,2017-09-27 14:05:25
